id_claim,seccion,texto_claim,valor,unidad,fuente_csv,filtro_o_fila
orphan_bands_fuego_hecho_de_vidrio_nb_heuristico,bandas_huerfanas,Bandas huerfanas del padre A de fuego_hecho_de_vidrio (sin alinear) al n_bands heuristico usado por baseline_v11 (n_bands=16).,0,bandas huerfanas de 16 (umbral -25 dB),bandas_huerfanas.csv,pareja == 'fuego_hecho_de_vidrio' and align == False and n_bands == 16
orphan_bands_canica_hecha_de_fuego_nb_heuristico,bandas_huerfanas,Bandas huerfanas del padre A de canica_hecha_de_fuego (sin alinear) al n_bands heuristico usado por baseline_v11 (n_bands=16).,2,bandas huerfanas de 16 (umbral -25 dB),bandas_huerfanas.csv,pareja == 'canica_hecha_de_fuego' and align == False and n_bands == 16
orphan_bands_trueno_hecho_de_canica_nb_heuristico,bandas_huerfanas,Bandas huerfanas del padre A de trueno_hecho_de_canica (sin alinear) al n_bands heuristico usado por baseline_v11 (n_bands=6).,3,bandas huerfanas de 6 (umbral -25 dB),bandas_huerfanas.csv,pareja == 'trueno_hecho_de_canica' and align == False and n_bands == 6
orphan_bands_oceano_hecho_de_campana_nb_heuristico,bandas_huerfanas,Bandas huerfanas del padre A de oceano_hecho_de_campana (sin alinear) al n_bands heuristico usado por baseline_v11 (n_bands=16).,0,bandas huerfanas de 16 (umbral -25 dB),bandas_huerfanas.csv,pareja == 'oceano_hecho_de_campana' and align == False and n_bands == 16
orphan_bands_goteo_hecho_de_campana_nb_heuristico,bandas_huerfanas,Bandas huerfanas del padre A de goteo_hecho_de_campana (sin alinear) al n_bands heuristico usado por baseline_v11 (n_bands=6).,0,bandas huerfanas de 6 (umbral -25 dB),bandas_huerfanas.csv,pareja == 'goteo_hecho_de_campana' and align == False and n_bands == 6
crest_baseline_v11_trueno_agua_6s,reproducibilidad,Cresta del baseline V11 (trueno_hecho_de_agua) a 6s -- duracion del grid de resumen.csv.,47.4582,dB (crest factor),resumen.csv,pareja == 'trueno_hecho_de_agua' and grupo == 'baseline_v11'
crest_baseline_v11_trueno_agua_8s,reproducibilidad,"Cresta del baseline V11 (trueno_hecho_de_agua) a 8s -- misma duracion que los clips 'estrellas' de scripts/38_demo_congreso.py. NO reproduce los 49.4 dB citados de la demo (se probo tambien n_bands=4 y n_bands=8 a 6s/8s: maximo medido 47.71 dB) -- discrepancia sin cerrar, reportada tal cual, ver informe de la tarea.",47.7068,dB (crest factor),baseline_v11_crest.csv,pareja == 'trueno_hecho_de_agua' and duration_s == 8.0
overshoot_vidrio,alineacion_registro,"Sobredisparo de registro al mover a 'vidrio' en fuego_hecho_de_vidrio: objetivo 1193.3 Hz, logrado 1743.1 Hz.",46.07,% sobre el objetivo (register_target_hz),resumen.csv,pareja == 'fuego_hecho_de_vidrio' and align == True and moved_parent == 'vidrio'
overshoot_canica_registro_bajo,alineacion_registro,"Sobredisparo de registro al mover a 'canica' en trueno_hecho_de_canica: objetivo 181.9 Hz, logrado 805.8 Hz.",342.87,% sobre el objetivo (register_target_hz),resumen.csv,pareja == 'trueno_hecho_de_canica' and align == True and moved_parent == 'canica'
overshoot_canica_registro_alto,alineacion_registro,"Sobredisparo de registro al mover a 'canica' en canica_hecha_de_fuego: objetivo 1234.9 Hz, logrado 1261.3 Hz.",2.13,% sobre el objetivo (register_target_hz),resumen.csv,pareja == 'canica_hecha_de_fuego' and align == True and moved_parent == 'canica'
overshoot_campana_tela_registro_bajo,alineacion_registro,"Sobredisparo de registro al mover a 'campana_tela' en goteo_hecho_de_campana: objetivo 691.4 Hz, logrado 858.8 Hz.",24.22,% sobre el objetivo (register_target_hz),resumen.csv,pareja == 'goteo_hecho_de_campana' and align == True and moved_parent == 'campana_tela'
overshoot_campana_tela_registro_alto,alineacion_registro,"Sobredisparo de registro al mover a 'campana_tela' en oceano_hecho_de_campana: objetivo 1142.4 Hz, logrado 1593.3 Hz.",39.47,% sobre el objetivo (register_target_hz),resumen.csv,pareja == 'oceano_hecho_de_campana' and align == True and moved_parent == 'campana_tela'
overshoot_goteo,alineacion_registro,"Sobredisparo de registro al mover a 'goteo' en trueno_hecho_de_agua: objetivo 181.9 Hz, logrado 196.7 Hz.",8.12,% sobre el objetivo (register_target_hz),resumen.csv,pareja == 'trueno_hecho_de_agua' and align == True and moved_parent == 'goteo'
register_clamped_cero_de_494,alineacion_registro,"Candidatos con align=True cuyo register_clamped=True (tope de rango de alineacion), de 494 candidatos con align=True: el error de alineacion no es por recorte de rango.",0,candidatos (de 494),resumen.csv,align == True and register_clamped == True
corr_envolvente_graves_fuego_hecho_de_vidrio_plana,correlacion_envolvente,"Correlacion de envolvente (banda graves <500Hz) del blend con el padre A, chimera_plana, fuego_hecho_de_vidrio.",0.283,correlacion (max +-20ms),correlacion_envolvente.csv,pareja == 'fuego_hecho_de_vidrio' and region == 'graves' and method == 'chimera_plana'
corr_envolvente_graves_fuego_hecho_de_vidrio_coloreada,correlacion_envolvente,"Correlacion de envolvente (banda graves <500Hz) del blend con el padre A, chimera coloreada (color_mix=1.0, ~V11), fuego_hecho_de_vidrio. Coincide con la direccion del brief (coloreada sigue MENOS a A que la plana).",0.1192,correlacion (max +-20ms),correlacion_envolvente.csv,pareja == 'fuego_hecho_de_vidrio' and region == 'graves' and method == 'chimera' and color_mix == 1.0
corr_envolvente_graves_goteo_hecho_de_campana_plana,correlacion_envolvente,"Correlacion de envolvente (banda graves <500Hz) del blend con el padre A, chimera_plana, goteo_hecho_de_campana.",0.6547,correlacion (max +-20ms),correlacion_envolvente.csv,pareja == 'goteo_hecho_de_campana' and region == 'graves' and method == 'chimera_plana'
corr_envolvente_graves_goteo_hecho_de_campana_coloreada,correlacion_envolvente,"Correlacion de envolvente (banda graves <500Hz) del blend con el padre A, chimera coloreada (color_mix=1.0, ~V11), goteo_hecho_de_campana. Direccion CONTRARIA a la citada en el brief para esta pareja (coloreada sigue MAS a A que la plana, no menos) -- el 0,655 del brief es la plana de ESTA pareja, no la coloreada; el 0,121 del brief es la coloreada de fuego_hecho_de_vidrio, no de esta pareja. El brief mezclaba dos parejas en una sola afirmacion.",0.7142,correlacion (max +-20ms),correlacion_envolvente.csv,pareja == 'goteo_hecho_de_campana' and region == 'graves' and method == 'chimera' and color_mix == 1.0
